readonly	ro	boolean	buffer
redrawtime	rdt	number	global
regexpengine	re	number	global
relativenumber	rnu	boolean	window
remap		boolean	global
renderoptions	rop	string	global
report		number	global
restorescreen	rs	boolean	global
revins	ri	boolean	global
rightleft	rl	boolean	window
rightleftcmd	rlc	string	window
rubydll		string	global
ruler	ru	boolean	global
rulerformat	ruf	string	global
runtimepath	rtp	string	global
scroll	scr	number	window
scrollbind	scb	boolean	window
scrollfocus	scf	boolean	global
scrolljump	sj	number	global
scrolloff	so	number	global-window
scrollopt	sbo	string	global
sections	sect	string	global
secure		boolean	global
selection	sel	string	global
selectmode	slm	string	global
sessionoptions	ssop	string	global
shell	sh	string	global
shellcmdflag	shcf	string	global
shellpipe	sp	string	global
shellquote	shq	string	global
shellredir	srr	string	global
shellslash	ssl	boolean	global
shelltemp	stmp	boolean	global
shelltype	st	number	global
shellxescape	sxe	string	global
shellxquote	sxq	string	global
shiftround	sr	boolean	global
shiftwidth	sw	number	buffer
shortname	sn	boolean	buffer
showbreak	sbr	string	global-window
showcmd	sc	boolean	global
showcmdloc	sloc	string	global
showfulltag	sft	boolean	global
showmatch	sm	boolean	global
showmode	smd	boolean	global
showtabline	stal	number	global
showtabpanel	stpl	number	global
sidescroll	ss	number	global
sidescrolloff	siso	number	global-window
signcolumn	scl	string	window
smartcase	scs	boolean	global
smartindent	si	boolean	buffer
smarttab	sta	boolean	global
smoothscroll	sms	boolean	window
softtabstop	sts	number	buffer
spell		boolean	window
spellcapcheck	spc	string	buffer
spellfile	spf	string	buffer
spelllang	spl	string	buffer
spelloptions	spo	string	buffer
spellsuggest	sps	string	global
splitbelow	sb	boolean	global
splitkeep	spk	string	global
splitright	spr	boolean	global
startofline	sol	boolean	global
statusline	stl	string	global-window
statuslineopt	stlo	string	global-window
suffixes	su	string	global
suffixesadd	sua	string	buffer
swapfile	swf	boolean	buffer
swapsync	sws	string	global
switchbuf	swb	string	global
synmaxcol	smc	number	buffer
syntax	syn	string	buffer
tabclose	tcl	string	global
tabline	tal	string	global
tabpagemax	tpm	number	global
tabpanel	tpl	string	global
tabpanelopt	tplo	string	global
tabstop	ts	number	buffer
tagbsearch	tbs	boolean	global
tagcase	tc	string	global-buffer
tagfunc	tfu	string	buffer
taglength	tl	number	global
tagrelative	tr	boolean	global
tags	tag	string	global-buffer
tagstack	tgst	boolean	global
tcldll		string	global
term		string	global
termbidi	tbidi	boolean	global
termencoding	tenc	string	global
termguicolors	tgc	boolean	global
termresize	trz	string	global
termsync	tsy	boolean	global
termwinkey	twk	string	window
termwinscroll	twsl	number	buffer
termwinsize	tws	string	window
termwintype	twt	string	global
terse		boolean	global
textauto	ta	boolean	global
textmode	tx	boolean	buffer
